,tmax,tmin,rain,tmax_tomorrow,tmax_3,tmax_5,tmax_7,tmax_14,tmax_30,tmax_60,tmax_90
1980-06-06,65.0,53.0,0.0,69.0,64.33333333333333,64.4,64.57142857142857,64.35714285714286,64.1,65.13333333333334,64.24444444444444
1980-06-07,69.0,53.0,0.0,71.0,65.66666666666667,65.2,64.85714285714286,64.92857142857143,64.36666666666666,65.16666666666667,64.23333333333333
1980-06-08,71.0,54.0,0.0,67.0,68.33333333333333,66.6,66.0,65.28571428571429,64.73333333333333,65.3,64.3
1980-06-09,67.0,54.0,0.0,63.0,69.0,67.0,66.28571428571429,65.35714285714286,64.96666666666667,65.31666666666666,64.38888888888889
1980-06-10,63.0,54.0,0.0,65.0,67.0,67.0,66.14285714285714,65.35714285714286,65.03333333333333,65.01666666666667,64.42222222222222
1980-06-11,65.0,54.0,0.0,66.0,65.0,67.0,66.14285714285714,65.42857142857143,65.2,64.81666666666666,64.47777777777777
1980-06-12,66.0,54.0,0.0,65.0,64.66666666666667,66.4,66.57142857142857,65.42857142857143,65.46666666666667,64.73333333333333,64.52222222222223
1980-06-13,65.0,54.0,0.0,72.0,65.33333333333333,65.2,66.57142857142857,65.57142857142857,65.5,64.75,64.58888888888889
1980-06-14,72.0,53.0,0.0,75.0,67.66666666666667,66.2,67.0,65.92857142857143,65.73333333333333,64.78333333333333,64.71111111111111
1980-06-15,75.0,52.0,0.0,68.0,70.66666666666667,68.6,67.57142857142857,66.78571428571429,66.03333333333333,64.86666666666666,64.87777777777778
1980-06-16,68.0,53.0,0.0,71.0,71.66666666666667,69.2,67.71428571428571,67.0,65.9,64.95,64.9
1980-06-17,71.0,54.0,0.0,63.0,71.33333333333333,70.2,68.85714285714286,67.5,66.06666666666666,65.05,64.9888888888889
1980-06-18,63.0,55.0,0.0,60.0,67.33333333333333,69.8,68.57142857142857,67.35714285714286,65.66666666666667,65.01666666666667,65.02222222222223
1980-06-19,60.0,54.0,0.0,65.0,64.66666666666667,67.4,67.71428571428571,67.14285714285714,65.36666666666666,64.93333333333334,65.0
1980-06-20,65.0,53.0,0.0,64.0,62.666666666666664,65.4,67.71428571428571,67.14285714285714,65.46666666666667,65.01666666666667,64.91111111111111
1980-06-21,64.0,54.0,0.0,65.0,63.0,64.6,66.57142857142857,66.78571428571429,65.5,65.11666666666666,64.9
1980-06-22,65.0,53.0,0.0,69.0,64.66666666666667,63.4,65.14285714285714,66.35714285714286,65.66666666666667,65.16666666666667,64.88888888888889
1980-06-23,69.0,54.0,0.0,69.0,66.0,64.6,65.28571428571429,66.5,65.93333333333334,65.26666666666667,65.05555555555556
1980-06-24,69.0,55.0,0.0,70.0,67.66666666666667,66.4,65.0,66.92857142857143,66.03333333333333,65.41666666666667,65.16666666666667
1980-06-25,70.0,55.0,0.0,75.0,69.33333333333333,67.4,66.0,67.28571428571429,66.16666666666667,65.5,65.26666666666667
1980-06-26,75.0,53.0,0.0,83.0,71.33333333333333,69.6,68.14285714285714,67.92857142857143,66.56666666666666,65.63333333333334,65.36666666666666
1980-06-27,83.0,54.0,0.0,83.0,76.0,73.2,70.71428571428571,69.21428571428571,67.2,65.96666666666667,65.55555555555556
1980-06-28,83.0,55.0,0.0,72.0,80.33333333333333,76.0,73.42857142857143,70.0,67.76666666666667,66.25,65.7
1980-06-29,72.0,54.0,0.0,69.0,79.33333333333333,76.6,74.42857142857143,69.78571428571429,68.06666666666666,66.23333333333333,65.81111111111112
1980-06-30,69.0,55.0,0.0,65.0,74.66666666666667,76.4,74.42857142857143,69.85714285714286,68.13333333333334,66.25,65.9
1980-07-01,65.0,54.0,0.04,64.0,68.66666666666667,74.4,73.85714285714286,69.42857142857143,68.2,66.28333333333333,65.95555555555555
1980-07-02,64.0,56.0,0.19,65.0,66.0,70.6,73.0,69.5,68.16666666666667,66.26666666666667,66.0111111111111
1980-07-03,65.0,56.0,0.0,66.0,64.66666666666667,67.0,71.57142857142857,69.85714285714286,68.2,66.26666666666667,66.07777777777778
1980-07-04,66.0,55.0,0.0,67.0,65.0,65.8,69.14285714285714,69.92857142857143,68.23333333333333,66.26666666666667,66.12222222222222
1980-07-05,67.0,56.0,0.0,67.0,66.0,65.4,66.85714285714286,70.14285714285714,68.36666666666666,66.28333333333333,66.18888888888888
1980-07-06,67.0,54.0,0.0,69.0,66.66666666666667,65.8,66.14285714285714,70.28571428571429,68.43333333333334,66.26666666666667,66.23333333333333
1980-07-07,69.0,55.0,0.0,69.0,67.66666666666667,66.8,66.14285714285714,70.28571428571429,68.43333333333334,66.4,66.25555555555556
1980-07-08,69.0,57.0,0.0,73.0,68.33333333333333,67.6,66.71428571428571,70.28571428571429,68.36666666666666,66.55,66.32222222222222
1980-07-09,73.0,59.0,0.0,77.0,70.33333333333333,69.0,68.0,70.5,68.56666666666666,66.76666666666667,66.4
1980-07-10,77.0,55.0,0.0,68.0,73.0,71.0,69.71428571428571,70.64285714285714,69.03333333333333,67.03333333333333,66.35555555555555
1980-07-11,68.0,56.0,0.0,68.0,72.66666666666667,71.2,70.0,69.57142857142857,69.13333333333334,67.16666666666667,66.25555555555556
1980-07-12,68.0,57.0,0.0,69.0,71.0,71.0,70.14285714285714,68.5,69.2,67.33333333333333,66.22222222222223
1980-07-13,69.0,57.0,0.0,74.0,68.33333333333333,71.0,70.42857142857143,68.28571428571429,69.33333333333333,67.41666666666667,66.27777777777777
1980-07-14,74.0,57.0,0.0,81.0,70.33333333333333,71.2,71.14285714285714,68.64285714285714,69.4,67.56666666666666,66.32222222222222
1980-07-15,81.0,57.0,0.0,73.0,74.66666666666667,72.0,72.85714285714286,69.78571428571429,69.6,67.81666666666666,66.44444444444444
1980-07-16,73.0,57.0,0.0,72.0,76.0,73.0,72.85714285714286,70.42857142857143,69.76666666666667,67.83333333333333,66.55555555555556
1980-07-17,72.0,57.0,0.0,64.0,75.33333333333333,73.8,72.14285714285714,70.92857142857143,69.8,67.93333333333334,66.63333333333334
1980-07-18,64.0,56.0,0.0,72.0,69.66666666666667,72.8,71.57142857142857,70.78571428571429,69.83333333333333,67.75,66.62222222222222
1980-07-19,72.0,58.0,0.0,73.0,69.33333333333333,72.4,72.14285714285714,71.14285714285714,70.23333333333333,67.8,66.7
1980-07-20,73.0,57.0,0.0,72.0,69.66666666666667,70.8,72.71428571428571,71.57142857142857,70.5,67.98333333333333,66.84444444444445
1980-07-21,72.0,57.0,0.0,69.0,72.33333333333333,70.6,72.42857142857143,71.78571428571429,70.76666666666667,68.13333333333334,67.0
1980-07-22,69.0,56.0,0.0,70.0,71.33333333333333,70.0,70.71428571428571,71.78571428571429,70.9,68.28333333333333,67.07777777777778
1980-07-23,70.0,57.0,0.0,74.0,70.33333333333333,71.2,70.28571428571429,71.57142857142857,70.93333333333334,68.43333333333334,67.15555555555555
1980-07-24,74.0,57.0,0.0,83.0,71.0,71.6,70.57142857142857,71.35714285714286,71.1,68.56666666666666,67.31111111111112
1980-07-25,83.0,56.0,0.0,76.0,75.66666666666667,73.6,73.28571428571429,72.42857142857143,71.53333333333333,68.85,67.5111111111111
1980-07-26,76.0,56.0,0.0,80.0,77.66666666666667,74.4,73.85714285714286,73.0,71.56666666666666,69.06666666666666,67.61111111111111
1980-07-27,80.0,59.0,0.0,82.0,79.66666666666667,76.6,74.85714285714286,73.78571428571429,71.46666666666667,69.33333333333333,67.8
1980-07-28,82.0,60.0,0.0,79.0,79.33333333333333,79.0,76.28571428571429,74.35714285714286,71.43333333333334,69.6,67.97777777777777
1980-07-29,79.0,57.0,0.0,77.0,80.33333333333333,80.0,77.71428571428571,74.21428571428571,71.66666666666667,69.86666666666666,68.04444444444445
1980-07-30,77.0,60.0,0.0,85.0,79.33333333333333,78.8,78.71428571428571,74.5,71.93333333333334,70.03333333333333,68.14444444444445
1980-07-31,85.0,63.0,0.0,84.0,80.33333333333333,80.6,80.28571428571429,75.42857142857143,72.6,70.4,68.38888888888889
1980-08-01,84.0,60.0,0.0,69.0,82.0,81.4,80.42857142857143,76.85714285714286,73.26666666666667,70.71666666666667,68.6
1980-08-02,69.0,60.0,0.0,75.0,79.33333333333333,78.8,79.42857142857143,76.64285714285714,73.4,70.8,68.64444444444445
1980-08-03,75.0,59.0,0.0,71.0,76.0,78.0,78.71428571428571,76.78571428571429,73.7,70.96666666666667,68.74444444444444
1980-08-04,71.0,59.0,0.0,74.0,71.66666666666667,76.8,77.14285714285714,76.71428571428571,73.83333333333333,71.1,68.8
1980-08-05,74.0,60.0,0.0,69.0,73.33333333333333,74.6,76.42857142857143,77.07142857142857,74.06666666666666,71.25,68.86666666666666
1980-08-06,69.0,56.0,0.0,72.0,71.33333333333333,71.6,75.28571428571429,77.0,74.06666666666666,71.25,68.95555555555555
1980-08-07,72.0,57.0,0.0,67.0,71.66666666666667,72.2,73.42857142857143,76.85714285714286,74.16666666666667,71.26666666666667,69.08888888888889
1980-08-08,67.0,56.0,0.0,70.0,69.33333333333333,70.6,71.0,75.71428571428571,73.96666666666667,71.26666666666667,69.16666666666667
1980-08-09,70.0,56.0,0.0,70.0,69.66666666666667,70.4,71.14285714285714,75.28571428571429,73.73333333333333,71.38333333333334,69.26666666666667
1980-08-10,70.0,55.0,0.0,67.0,69.0,69.6,70.42857142857143,74.57142857142857,73.8,71.46666666666667,69.37777777777778
1980-08-11,67.0,55.0,0.0,67.0,69.0,69.2,69.85714285714286,73.5,73.76666666666667,71.48333333333333,69.47777777777777
1980-08-12,67.0,56.0,0.0,61.0,68.0,68.2,68.85714285714286,72.64285714285714,73.7,71.51666666666667,69.5111111111111
1980-08-13,61.0,55.0,0.0,63.0,65.0,67.0,67.71428571428571,71.5,73.26666666666667,71.33333333333333,69.46666666666667
1980-08-14,63.0,54.0,0.0,73.0,63.666666666666664,65.6,66.42857142857143,69.92857142857143,72.66666666666667,71.13333333333334,69.43333333333334
1980-08-15,73.0,56.0,0.0,70.0,65.66666666666667,66.2,67.28571428571429,69.14285714285714,72.66666666666667,71.21666666666667,69.44444444444444
1980-08-16,70.0,56.0,0.0,71.0,68.66666666666667,66.8,67.28571428571429,69.21428571428571,72.6,71.2,69.4888888888889
1980-08-17,71.0,57.0,0.0,70.0,71.33333333333333,67.6,67.42857142857143,68.92857142857143,72.83333333333333,71.33333333333333,69.44444444444444
1980-08-18,70.0,59.0,0.0,75.0,70.33333333333333,69.4,67.85714285714286,68.85714285714286,72.76666666666667,71.5,69.45555555555555
1980-08-19,75.0,58.0,0.0,72.0,72.0,71.8,69.0,68.92857142857143,72.83333333333333,71.66666666666667,69.6
1980-08-20,72.0,58.0,0.0,67.0,72.33333333333333,71.6,70.57142857142857,69.14285714285714,72.83333333333333,71.8,69.7
1980-08-21,67.0,56.0,0.0,68.0,71.33333333333333,71.0,71.14285714285714,68.78571428571429,72.76666666666667,71.83333333333333,69.77777777777777
1980-08-22,68.0,56.0,0.0,70.0,69.0,70.4,70.42857142857143,68.85714285714286,72.7,71.81666666666666,69.85555555555555
1980-08-23,70.0,58.0,0.0,67.0,68.33333333333333,70.4,70.42857142857143,68.85714285714286,72.56666666666666,71.83333333333333,69.9
1980-08-24,67.0,57.0,0.0,66.0,68.33333333333333,68.8,69.85714285714286,68.64285714285714,72.03333333333333,71.78333333333333,69.91111111111111
1980-08-25,66.0,57.0,0.0,67.0,67.66666666666667,67.6,69.28571428571429,68.57142857142857,71.7,71.63333333333334,69.94444444444444
1980-08-26,67.0,56.0,0.0,68.0,66.66666666666667,67.6,68.14285714285714,68.57142857142857,71.26666666666667,71.36666666666666,69.97777777777777
1980-08-27,68.0,57.0,0.0,69.0,67.0,67.6,67.57142857142857,69.07142857142857,70.8,71.11666666666666,70.0
1980-08-28,69.0,57.0,0.0,70.0,68.0,67.4,67.85714285714286,69.5,70.46666666666667,71.06666666666666,70.06666666666666
1980-08-29,70.0,58.0,0.0,69.0,69.0,68.0,68.14285714285714,69.28571428571429,70.23333333333333,71.08333333333333,70.1
1980-08-30,69.0,58.0,0.0,71.0,69.33333333333333,68.6,68.0,69.21428571428571,69.7,71.15,70.16666666666667
1980-08-31,71.0,57.0,0.0,70.0,70.0,69.4,68.57142857142857,69.21428571428571,69.26666666666667,71.26666666666667,70.23333333333333
1980-09-01,70.0,56.0,0.0,68.0,70.0,69.8,69.14285714285714,69.21428571428571,69.3,71.35,70.3
1980-09-02,68.0,56.0,0.0,67.0,69.66666666666667,69.6,69.28571428571429,68.71428571428571,69.06666666666666,71.38333333333334,70.33333333333333
