,user_id,book_id,rating,title
178,-1,49116,4,"Harry Potter and the Prisoner of Azkaban  (Harry Potter, #3)"
179,-1,6391993,4,"Fool's Errand  (Tawny Man, #1)"
180,-1,3363015,4,"Ender's Game  (Ender's Saga, #1)"
181,-1,1107306,4,"The Excalibur Alternative  (Earth Legions, #3)"
182,-1,3636,4,"The Giver  (The Giver, #1)"
183,-1,10176,4,Dress Your Family in Corduroy and Denim
184,-1,528366,4,"Gust Front  (Posleen War, #2)"
185,-1,528362,4,"A Hymn Before Battle  (Posleen War, #1)"
186,-1,5064,4,"World Without End  (Kingsbridge, #2)"
187,-1,20957438,4,Champlain's Dream
188,-1,136251,4,"Harry Potter and the Deathly Hallows  (Harry Potter, #7)"
189,-1,231622,4,And Then There Were None
190,-1,655707,4,The Eyes of the Dragon
191,-1,25318,4,"March to the Stars  (Empire of Man, #3)"
192,-1,46756,4,"Oryx and Crake  (MaddAddam, #1)"
193,-1,1430426,4,Brave New World
194,-1,19400,4,Decline and Fall of the Roman Empire: The Modern Library Collection
195,-1,4952,4,What is the What
196,-1,8117586,4,Into the Wild
197,-1,61916,4,"Young Miles  (Vorkosigan Omnibus, #2)"
198,-1,5325066,4,The Road
199,-1,5043,4,"The Pillars of the Earth  (Kingsbridge, #1)"
200,-1,6424171,4,"Jurassic Park  (Jurassic Park, #1)"
201,-1,3437328,4,The Temporal Void
202,-1,6466554,4,The Running Man
203,-1,3896708,4,China: A History
204,-1,13418329,4,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
205,-1,8683527,4,"Harry Potter and the Sorcerer's Stone  (Harry Potter, #1)"
206,-1,9344385,4,Who: The A Method for Hiring
207,-1,6178648,4,Nothing to Envy: Ordinary Lives in North Korea
208,-1,479561,4,"The Neutronium Alchemist  (Night's Dawn, #2)"
209,-1,6736971,4,"The Desert Spear  (Demon Cycle, #2)"
210,-1,3428935,4,"The Warded Man  (Demon Cycle, #1)"
211,-1,7137787,4,Under the Dome
212,-1,6569735,4,Dark Places
213,-1,8253920,4,"Towers of Midnight  (The Wheel of Time, #13)"
214,-1,7141642,4,The Thousand Autumns of Jacob De Zoet
215,-1,30237009,4,"The Way of Kings  (The Stormlight Archive, #1)"
216,-1,7315573,4,Fall of Giants  (The Century Trilogy #1)
